commune_id,codice_postal,superficie,latitude,longitude
93,84030,6.16,40.54521560668945,15.446847081184387
94,84020,35.47,40.53234100341797,15.370699167251589
95,84065,6.2,40.345659255981445,15.380550920963287
96,84066,31.24,40.10807991027832,15.23223549127579
97,84035,48.08,40.51551818847657,15.495121479034424
98,84068,28.17,40.19124984741211,15.05580246448517
99,84098,37.19,40.64563751220704,14.86876130104065
100,84017,8.65,40.62941551208496,14.487053453922272
101,84026,48.24,40.55929183959961,15.231583714485168
102,84010,2.67,40.61164855957031,14.525578022003174
103,84060,11.0,40.33029556274414,15.067475438117985
104,84010,7.94,40.64919948577881,14.61106136441231
105,84020,27.0,40.66829681396485,15.492922067642212
106,84069,64.0,40.425310134887695,15.193096697330477
107,84060,42.0,40.1085090637207,15.430367588996887
108,84086,5.22,40.7615089416504,14.692910313606262
109,84070,5.8,40.21193504333496,15.42998939752579
110,84020,9.0,40.61036109924317,15.450760424137115
111,84020,14.0,40.39956092834473,15.348450243473051
112,84070,9.69,40.29989652187506,15.074718076562972
113,84070,23.66,40.37954196453745,15.375650954821372
114,84036,59.7,40.40228820333128,15.589621941803356
115,84070,53.29,40.249761832221175,15.187963954739097
116,84121,59.85,40.682419254128725,14.75935319328574
117,84020,9.6,40.59197443410919,15.460141511090663
118,84099,17.39,40.72001610038164,14.868805607368158
119,84070,32.0,40.05288641808795,15.45152976705703
120,84020,49.0,40.66066497427499,15.398411662212288
121,84090,5.0,40.70177799598817,14.832552636738557
122,84010,5.0,40.775841608883965,14.58823228822176
123,84070,15.0,40.22754074541165,15.044289063602486
124,84070,18.0,40.124115989797886,15.288135118221582
125,84030,15.0,40.45852264074942,15.482683790277378
126,84030,31.0,40.43373915231547,15.459516111494564
127,84010,9.0,40.79410629245234,14.601457258944192
128,84027,32.0,40.45944318468831,15.338283147045995
129,84037,20.0,40.47480519205822,15.481933006265487
130,84010,6.0,40.74565891675127,14.593446526461069
131,84070,28.36,40.10709477700349,15.542793185743893
132,84020,8.92,40.80930293069495,15.32084309524388
133,84030,32.0,40.24403715572983,15.552249811159152
134,84073,13.0,40.07548286392427,15.6335686579036
135,84087,39.0,40.81496178351802,14.615318363295527
136,84038,47.76,40.343505436780944,15.5649967125742
137,84018,19.0,40.770080475662105,14.53251623328741
138,84010,13.86,40.657039838342726,14.60766066788714
139,84070,7.23,40.24546405795721,15.032881966965691
140,84028,63.03,40.58419144044187,15.186256270466572
141,84074,18.04,40.25994951247989,15.074594625662863
142,84088,8.47,40.804455603447295,14.69171030620583
143,84029,80.0,40.55995722499575,15.302558842329026
